,country,score,topic,review,category,sentiment
2365,Canada,5,Pinterest,"Love this Pinterest very informative and very clear on how to get to things.
 If you have friends let them know it is very easy to get onto Pinterest.
 So good.",requirement,positive
2366,United States,3,A necessary evil,"I Facebooke a lot. The apps fine, but I wish it had all the same functionality as the desktop version (which I NEVER use unless I want to review security stuff). I wish it integrated with my other apps better... often when I have the option to ""sign on with Facebook"" it doesn't actually work. All in all it's simultaneously a good app, yet its Facebook, I guess I hold them to higher standards.",requirement,positive
2367,India,5,Nice,keep it up,other,positive
2368,Canada,4,Still my fav for simplicity,"Love Instagram. You should be given the option whether you want ppl to see who you've followed and what photos you've liked. I like Instagram more but my fb still loads the fastest. When you close out your feed should stay exactly where you left off when you return.
 Instagram is the best app accept twitter allows you to post what you want without deleting someone's account if they post R rated stuff.",requirement,positive
2369,Singapore,4,Improvement of media storage video/photo,"It would be good if there is an option to backup all video / photo to iPhone iCloud Enable / disable .
 2. The storage media had a setting to expiry such as weekly / monthly so it auto delete housekeep to keep photo / video low .",requirement,neutral
2370,Canada,2,Poop,Great app.,other,positive
2371,India,5,Senguttuvan Subburathina �,"Great app. Unable to view Member profile. 
 No photos in comments possible- major negative.
 Can see all posts at one spot - a major welcome aspect.
 All the best.",bug report,positive
2372,India,1,Not working at all,Sign up errors since 3-4 days.,bug report,neutral
2373,United Kingdom,3,Instagram issues,It's a great app where you can post memorable pictures and videos but the problem is that for me it keeps saying every time I try to post a video it keeps saying failed to post or something and when I post a photo it works perfectly fine so I'm not sure what the problem is. If you know old tell me so I know. Please and thank you!,bug report,positive
2374,India,2,Notification bug!!,When someone text me it didn't tell 2/10 times.. only when I unlock my 6s it'll give me a notification about it! Frustrating!!! Pls fix it asap,bug report,negative
2375,India,5,Applock,"App is good.but make a redesign or makeover in UI.pls its a request
 Please bring applock in ios.can u?",requirement,positive
2376,United States,5,Im facing problem cannot open,When i click on whatsapp its open close it agian,bug report,neutral
2377,Singapore,5,🟽,Good apps,other,positive
2378,Australia,1,Stories are the worst,"No way to turn off 'Stories' completely. 
 
 And app updates always toggle setting of use less data to off mode.",bug report,negative
2379,Australia,5,The goods,Probably couldn't live without it haha.,other,positive
2380,United Kingdom,5,Instagram,Great app one of the best out there. Cool indeed no issues.,other,positive
2381,United Kingdom,1,Stop copying Instagram,Yes and also add an option to accept and decline group invitations. Only then you will get more stars or even five stars.,requirement,neutral
2382,Singapore,5,Thank you,Suggestion : add dark mode ?�,requirement,neutral
2383,Canada,5,Amazing,Can't stop posting �,other,positive
2384,United Kingdom,2,Video viewing annoying,"I used to love this app, but the recent have updates mean watching and closing videos is now a 2 step process rather than the 1 it used to be. Very annoying! Also the full screen & X buttons seem to need multiple presses to get them to work. I hope these issues are resolved soon so I can give this app the 5 stars it usually deserves.",bug report,negative
2385,Canada,5,Rate,No bad review ever from me.,other,positive
2386,United Kingdom,5,Brilliant,Helps me when bored brilliant app,other,positive
2387,India,5,Good,Good,other,positive
2388,Singapore,2,Why r my chats lagging so much,My dms keep lagging and it says that I have new messages but they're just old ones that I'd seen earlier??? Fix this,bug report,neutral
2389,Canada,1,Feed is always out of order and they need to quit it with the ads,Yup,bug report,neutral
2390,Australia,1,Group chats,Please give us an option to leave group chats without members knowing- since you got added without being asked anyway!,requirement,neutral
2391,India,5,Best app,Best app ever for pics as always love thisss!!!!,other,positive
2392,Singapore,3,Jeremy,"Good apps. However, Need to improve the navigation in CITY area, especially on the highway with 3 and above junctions in Kuala Lumpur. In addition, it is not accurate showing my location during driving. Many times i was driving on the main road but Waze was showing I was somewhere else outside main road, which resulted in giving wrong direction.",bug report,positive
2393,Australia,5,Refreshing,So good to have so many ideas at hand 24/7!all ideas and shared by all...community personalized!,requirement,positive
2394,India,2,Cant download images after update,"Not able to download any images after update 
 Please look into this",bug report,neutral
2395,United States,5,Almost perfect,I just love the route options and the google background supporting me to find pretty much any place anywhere on the planet. And it is certainly more up to date than our intl. GPS or car gps. We generally turn on both but trust waze more!,requirement,positive
2396,Canada,5,Amazing,I love the fit bit app. It's so cool on how it tracks everything thing you do even sleep. The fact that the alarm is silent is cool now I don't have to wake up anyone else sleeping to an obnoxious sound. Thank you for bit! I got the blaze btw,requirement,positive
2397,South Africa,5,It's awesome,Cool stuff here!,other,positive
2398,Singapore,5,Add Archive format,Please come up with archive format asap!!!!! i don't wanna delete my photos but i don't wanna show it in my profile 🟽,requirement,neutral
2399,Canada,1,Push notifications stopped working,Since the last 2 updates my push notifications stopped working,bug report,neutral
2400,India,4,Use it,Awesome,other,positive
2401,Hong Kong,1,So many ad,,bug report,neutral
2402,Australia,1,No customer service,"I have an issue with our page and have sent reports and requests numerous times, however have never heard back from Facebook with any help. Zero customer service, obviously to big to care!",other,neutral
2403,India,1,worst update,370 mb update for facebook are you kidding me.more heavy then a high end game its discusting.stop it,bug report,negative
2404,Australia,5,good,Very good,other,positive
2405,Australia,5,"Fantastic App! Lost 80 lbs, kept it off a year so far, made lots of friends",Massive food database in calories or kilojoules; syncs with loads of fitness devices; logging takes only a couple of minutes a day; an awesome forum community which debunks the many myths of the diet industry. I cannot thank My Fitness Pal enough.,requirement,positive
2406,India,3,Problem downloading images,"Hi,
 
 There is some problem in downloading images and media in the status section. I get the following error message
 
 ""Couldn't download image.
 Try again. If the problem keeps happening, try turning off Wi-Fi or VPN, or connecting to a different Wi-Fi network.""
 
 I get the error message even after connecting to a different Wi-Fi network.",requirement,neutral
2407,Canada,4,Use it every day.,"I use it every day and I am sometimes surprised at the most efficient route, but it seems to work!",other,positive
2408,United Kingdom,5,Best app for me,Best app everything available •À_,other,positive
2409,United Kingdom,1,Awful update,"Latest update is a joke, when trying to close the irritating suggested pages the whole app just now closes, what a waste of time, do you never test updates?",bug report,negative
2410,Singapore,5,Kuldeep,Awesome App,other,positive
2411,Hong Kong,1,"Unable to see feeds pix after upgrade, only comments are available",Pls fix,bug report,neutral
2412,South Africa,5,Amazing app,I can't believe that this app is free. It is really fantastic and has helped so many people I know lose weight. It has every product found on the shelves.,requirement,positive
2413,Hong Kong,4,Easy for me to keep track on my diet,"Huge data base whicg easy for me to keep track on my diet, i hope they can expand the excerise data base too",requirement,positive
2414,United States,5,Excellent and efficient,Perfect,other,positive
2415,South Africa,4,Unknown,Great app and very user friendly..,requirement,positive
2416,Hong Kong,2,Not really friendly for using,"Cannot upload videos, cannot download pics, cannot pause when the video running, not really friendly for using",bug report,negative
2417,United Kingdom,3,Notifications disappear once I open the app.,"I get a notification on the app icon, but when I open the app it's gone. Bad update?",bug report,negative
2418,Australia,4,Great app,"Excellent app for tracking food every day. The only thing that could be improved is the ability to change from calories to kilojoules.""",requirement,positive
2419,United States,4,Good app,Lots of supported foods and good tracking. Only complaint is that it's a battery hog. Make sure to close the app when you're not logging meals.,requirement,positive
2420,United States,5,Lost w/o it,I love this app. Thank you so much MyfitnessPal! So far I've lost over 150 lbs and counting. It keeps me accountable for what I put in my body and I would have never lost all this weight without this app. I would be lost without it. Thanks!,requirement,positive
2421,United States,5,Very very helpful...an eye opener,This is a great app. It has helped to increase my awareness of the calories and nutrition I consume as well as a very good logging of calorie expenditure. Thank you,requirement,positive
2422,United States,5,Great app!,Makes calorie or carb counting so easy,requirement,positive
2423,United States,5,Good app,"Using the free version and it counts calories and carbs for me. Also syncs with 
 my fit bit and increases calorie allotment for the day based off of the exercise.",requirement,positive
2424,United States,5,Awesome!,"I love how it links everything and how I can scan foods into it and it catalogs everything! Awesome app! Keeps me on track, and motivated!",requirement,positive
2425,United States,3,Eh.ï¿½,Meh.?ï¸,noise,neutral
2426,United States,3,Why is the new update crashing?,"New update is crashing on iPad, fix it. If I press Sales Groups, it crashes.",requirement,neutral
2427,United States,1,Update failure,Oh for crying out loud enable LANDSCAPE!!!!! This is just stupid.,requirement,negative
2428,United States,5,Please fix,"Always like Facebook the diversity of postings are entertaining and keep me on too long! The only Thing that irritates me is the app closes on videos or if I'm on Facebook to long, it closes 4-5 times a day but I just get right back on..maybe you can fix that glitch on iPads.
 @@@@@@@@@@@@@@@@@
 
 Ok so far but videos are slow to load.
 @@@@@@@@@@@@@@@@@
 
 I am on FB daily, it's my window to the world friends family and I like it a lot. I can post comment add pics or videos...but some outside sites of videos take along time to load or kicks me out of FB or locks up with a blank screen...and getting on FB takes awhile to get on. I am connected to FB by family so I'll get use to service that's intermittent.@@@@
 
 For while now videos or signing in takes awhile to see. When viewing videos it's so slow and if you tap twice a black screen shows for 60 second and it is closed out on FB..takes another seco",requirement,neutral
2429,United States,5,Facebook,"Being a traumatic brain injury survivor the Facebook app is easily accessible and very simple to understand! I really enjoy it because im visually impaired so I couldn't tell what I was doing, but I like it how the news feed page has everything going from direct message and notifications and the whole bottom bar deal, including: notifications, search marketplace, search video, the more section so you can look at your own wall I really have to give Facebook props, give credit where credit is due.",requirement,positive
2430,United States,5,Best app,Dd,other,positive
2431,United States,5,Easy,"Easy to use , easier to operate and better select options . It's faster too",requirement,positive
2432,United States,4,Problem since installing latest update,"Was working perfectly well till I did the update 2 days ago. Had problem logging in information into the app and different aspects wouldn't sync. Now unable to log into the app after uninstalling and reinstalling it, keep getting error message. Hope Fitbit fixes this soon.",requirement,neutral
2433,United States,5,It's great,"Have used similar apps and gadgets, this is so far the best I have seen.",other,positive
2434,United States,2,Crashing !!,I'm waring Charge 2 and the app on iPhone 7 keep crashing 90% of my tries to sync with the watch.,bug report,neutral
2435,United States,4,"Love my fitbit, I would love to see improvements in the food log area.","I've been using my Fitbit alta since christmas, love it, love the app, But I would also like to see improvements in the food department. 
 
 Could you please make a better search for ""common"" foods? They don't always show up, instead I get a bunch of generic brands I don't really eat. 
 
 And I would love to see that you guys could create a recipe log. A place where you add ingredients to know how much your homemade mango smoothie actual nutrition info is. And the ability to store it.
 
 Also, a sugar% please! A way to track sugar would be awesome. Please please please",requirement,positive
2436,United States,4,Fitbit Charge 2,Great way to track activity. Readout is very visible. Text messages on the device are very helpful.,requirement,positive
2437,United States,5,Best gift ever,Got it for my birthday to get me moving again. Love the reminders that it's time to move. Not only does it keep track of my walks but also my sleep. Made me understand why I am tired in the morning.,requirement,positive
2438,United States,5,Fitbit,Just getting started but liking my fit bit so far,other,positive
2439,United States,5,Great App for business,Strongly reccomend for boosting your ecommerce with more Sales and engaged clients,requirement,positive
2440,United States,5,Instagram,I get see what my friends are up now,requirement,neutral
2441,United States,5,The best app,Excelente,other,positive
2442,United States,3,Sound on videos,Makes me mad when I tap to watch a video and I now have to The top right of video can you just put it on the top instead do you can tap it on or on mute or put it back to taping the video,bug report,negative
2443,United States,5,?,Awesome place to express your ideas,other,positive
2444,United States,5,awesome,its awesome,other,positive
2445,United States,4,Add a darkmode plz!!!,A darkmode would make this already great survice even better so please implement a darkmode!!,requirement,positive
2446,United States,4,My review,Instagram is amazing. I live how they added the new touches with the filters and the story and live and with adding multiple pics on one post. But I feel like it shouldn't take up so much data,requirement,positive
2447,United States,5,Yeah,So cool,other,positive
2448,United States,5,I love Pinterest,"I love this app--especially for recipes. Also great for game ideas with the kids, fundraising ideas, decor, fashion...life!!",other,positive
2449,United States,3,Why are you guys changing!?,I still love Pinterest but why take away all the good features and put a limit on pins?,bug report,positive
2450,United States,3,The like button,I used the like button often and now that it's gone it's frustrating when I don't know what board a pin should go but I also can't save it. Also all the pins I had liked are just gone! I think it was more useful to some users than what you thought.,requirement,negative
2451,United States,3,Broken,The app is broken. It keeps flashing white and crashing when I try to log in.,bug report,neutral
2452,United States,5,Go To Inspiration App,"Pinterest is quick, easy, and all around helpful. All you have to do to get into is click on the app. If you want something, you type it in to search and hundreds of ideas pop up. It's the go to app for inspiration!",requirement,positive
2453,United States,5,Awesome!!!,I find it pretty easy to use.,requirement,positive
2454,United States,1,Voice command removed,Why did you remove this feature? I use it to flip phone onto seat so it turns off display saving on battery. Please add it again.,requirement,neutral
2455,United States,1,Too many ads,Why would you allow the ads to cover 1/2 of the screen? Why would you allow the ad to remain there for so long? Do you really think it's safe for me to X out of the ad while driving? My directions are typed in before I drive so why would I touch my screen to remove an ad? Why doesn't the voice tell me the name of the street before I get there? It currently tells me just as I am on the street making it impossible to turn. Why doesn't this app tell my which side of the street my destination is on? Take a page out of google apps' book and fix this app. It used to be great! It can be again!,requirement,neutral
2456,United States,5,Try it you will like it.,Works great,other,positive
2457,United States,5,Love waze,"I use it all the time, and always helps me a lot to find places and easy get together woth friends in new places",other,positive
2458,United States,4,Needs Apple Watch Functionality,Great app but doesn't work with Apple Watch.,requirement,positive
2459,United States,3,"Best GPS app on the market, except for one flaw","I love Waze. It's my main go-to GPS app, but you can't set the location tracking to ""sometimes"" and I've found that I use significantly more battery throughout the day unless I go into my setting and turn the location tracking to ""never"". This is a huge pain. Besides this one major flaw, I would give the app 5 stars.",bug report,positive
2460,United States,4,Cool,Great app. Needs compatibility with the Apple watch. Then it will be perfect.,requirement,positive
2461,United States,5,The Best!,Love this app. Granddaughter traveling in Europe this summer and we're able to communicate and enjoy some of the sites she's serinf.,other,positive
2462,United States,4,Suggestion,Please add edit option ï¿½,requirement,neutral
2463,United States,5,Please remove the story feature,"Keep the platform clean, don't try to copy stupid social media trends. 
 
 Why I want to see people story that I just added their info in my contacts for business, I don't want or see anything about your life. 
 
 Keep the app clean, I will always give it 5 stars because its ad free. 
 But don't try to make it like snapchat.",bug report,neutral
2464,United States,5,Adore it,I love it!!,other,positive
2465,United States,5,Ø¬ÙŠØ¯Ø§,Ù…Ù…ØªØ§Ø²,noise,neutral
2466,United States,5,Best app ever!!!,I must say this app with its dynamic info generated by the users has not let me down during why travels. And with every update it gets better,requirement,positive
2467,United States,5,Best health tracker I've used.,It has a very good food calorie data base with a nice social network.,requirement,positive
2468,United States,1,Notifications not showing up,"The notification badges are showing up on my iPhone 6 Plus but when I open app there not there. This has happened since last update. 
Also quit interrupting videos with stupid ads. Annoying.",requirement,neutral
2469,United States,1,Hate it!,"Why do they make changes we don't need? Now there is no option to see just ""recent posts""! Looks like I'm going to have to delete the phone app. Way to lose people FB.",other,negative
2470,Hong Kong,1,Useless function n poor experience,"Story is useless n annoying to user. 
Can't show the new feed n always showing advertisements  related to football gambling. 
Comments had been selectedðŸ‘ŽðŸ»",other,negative
2471,United Kingdom,1,To many updates!,This app is always having an update for something can they never get it right!i see stuff from the day I'm on then suddenly stuff from a week ado it needs to be in time order not having stuff pop up from days before,requirement,negative
2472,United Kingdom,1,Photo albums,"Just spent an hour trying to upload photos and would only work if I was uploading 10-15 at a time. 
It's silly how it comes up as loads of posts every time you add photos to an album when you can only add a few at a time as you have to sit uploading loads separately. Please sort it",requirement,negative
2473,United States,1,Notifications don't show,"With the newest update, when I click on my notifications my new ones don't show up. Got on my computer to check and I had 35 new notifications. Fix please!",bug report,neutral
2474,United Kingdom,1,Update update update,Absolute garbage what a waste of an app im still seeing posts from 2 weeks ago the apps slow and broke dunno what you have done but its a mess sort the peace of S**t out not to mention the memory it uses absolute waste of time dont download this app!!!!!ðŸ½ï¿½,other,negative
2475,United Kingdom,1,Photo upload completely broken,Completely useless when trying to upload 40 photos. Freezes on the screen after camera roll selection. Freezes even when doing 5-photo increments.,requirement,negative
2476,United States,1,I want the colored background on my posts!,"I want to know WHY I still do not have this?? If everyone can't have it at the same time; no one should have it! Be FAIR Facebook ðŸ˜¡ðŸ˜¡
Give me the colors and you will get all 5 stars rating!!",other,negative
2477,United States,1,Crashes every time.,Fix your stupid app so I can open a page without the app crashing.,bug report,negative
2478,United States,1,Losing interest,"Losing patience and tolerance for FB!  Not sure why FB has to dictate which Status Updates/posts I can see, in what order etc. The News Feed is now some random selection of posts.  The Most Recent feed is worthless and doesn't show all or most recent posts of my connections.  I now have to view the News Feed and then Most Recent and hope I see everything, but continue to miss posts from friends etc.

But of course merchant ads and suggested posts are readily available in the News Feed.  I see 2-3 random posts then an ad; 2-3 more posts and another ad!!!",requirement,negative
2479,United States,1,Total garbage now,"Can't even reload app without wifi to many bugs now ,notifications are a joke go back 3yrs worked fine",bug report,negative
2480,United States,1,Updates,Quit updating it every three days. You've made it worse with each update.,requirement,negative
2481,United States,1,Can't view my albums,"Since the new update a few days ago. I can't view my albums. I take lots of pictures. And now I can't upload them from under the album section!!! Please fix this. I saw I am not the only one with this new problem.

Also I can't get to any old photos if none of my albums are coming up!!! If I want a picture from an album from 2011 I now can't just go under the album and get it",bug report,neutral
2482,Australia,1,User unfriendly,"Every update slashes the level of user friendliness. I'm not a merchant, why does Facebook prioritise its shop platform over its messaging platform, now in a tiny square on the top corner which hides when scrolled? Excellent.",requirement,negative
2483,United States,1,HELP!,Since the update I can't play video on Facebook using my data. This is the message I get 'Unable to play video. Check your internet connection and try again.' I have four bars with LTE coverage.,bug report,neutral
2484,United States,1,Swipe swipe swipe,"Ughhhh I dont not want to be seeing my face when I accidentally swipe right! Facebook is no longer original , stop being Snapchat!",requirement,negative
2485,Canada,1,Sucks,"Hate it. It jumbled my newsfeed and I never get all my stuff now. These updates are getting worse every time. Also can't post pictures sometimes, it freezes.",bug report,negative
2486,United States,1,Ad over videos,"Updates are junk.  Too large, too many. Every video there is an ad in the middle.  Facebook is getting greedy. I have to pay for ads when I'm using my LTE.  I'm considering just shutting down my account.  I can look up random videos elsewhere. As for friends, I'm using a phone so I can just call them if I want to talk.",requirement,negative
2487,United States,1,Hate the new update!,Stop trying to be Snap Chat. It's annoying. I'm so sick of accidentally swiping to that stupid camera you guys have now. ðŸ½ðŸ If I could give negative amount of stars I would. Seriously think I want to uninstall it.,requirement,negative
2488,United Kingdom,1,Do an new update,I think you need to do a new update as mine is not working properly now,bug report,neutral
2489,United States,1,Battery drain!,"Uses way too much battery, and dumb notifications from things I don't care about.
Update: the little red number of notifications on the app icon is always more than the actual number of notifications when I open the app and look.",requirement,neutral
2490,Canada,1,"Snapchat copycat, bloatware.","New features make facebook seem more of a knockoff snapchat clone mashed with facebook which equals a disgusting monstrosity. I have not even touched the new features at all and I find it useless. Even all my friends haven't even posted a single story since that feature came out. Few words, Get rid of these ugly useless features. Seriously, these features bloat up your app and wastes my precious storage space. I will most likely will not use the app again if this continues.",requirement,negative
2491,United States,1,Can't use Facebook anymore.,"I have the awful video only version. Can't make comments when in break at my job because I work in a quiet environment. No sound or talking. No posting images from my worksite. Without comments, I can't post anything.  Without sound, watching a video stinks. how do I go back?",requirement,neutral
2492,United States,1,Update 5/25/17,Now I can't like or react to other people's comments. So much for a social networkðŸ‘‰ will go back to using a web sign on my iPhone.,requirement,negative
2493,United States,1,Why?,"Why is it so hard to make the feed show up chronologically?? Here it is a Monday, and I'm seeing posts from last Wednesday first, followed by a mixture of new/old posts.. obviously it's not just the app, because it's just as messed up when I'm on an actual computer!",requirement,neutral
2494,United States,1,Keeps getting worse,Everything keeps on getting worse.,other,negative
2495,United States,1,Decrease app size,"250MB+!
Seriously Facebook???
Why!Cant download without wifi.",requirement,negative
2496,United States,1,Fix the crashing issue,"There are a few things that I can't stand about the app.
â€¢When I'm reading an article the app crashes and I can't find the article again
â€¢It's not in chronological order, this should be a setting that we can change. I see things from 5 days ago and it ticks me off.
And
â€¢My profile won't let me update my name, I'm recently engaged and I'm not given the option to change my name.",bug report,negative
2497,United States,1,Many issues,"Very glitchy
In app web browser is horrendous and rarely takes you to the place you want with adds that are sometimes offensive. 
Updates are huge and useless",bug report,negative
2498,South Africa,2,Tags,Loving the new look!! But all of a sudden I cant tag anyone in posts or comments anymore? Is it the new facebook or one of my settings? I've been through everything and nothing is helping?,bug report,positive
2499,United Kingdom,2,Keeps crashing,I can't upload a post bc whenever i try to upload multiple photos it just stops working and crashes,bug report,neutral
2500,India,2,Comments not seen,"After the update I can't to read comments on any pages or posts I can see only stickers only and why should I spend such 200mb update for wasting my time. 
Really mess with this..",bug report,neutral
2501,United States,2,Comment like buttons are not working,Love the app but using the web browser now to like comments.  The newest version the like buttons disappeared!  Wish I had not updated.,bug report,positive
2502,United States,2,Messenger icon disappeared,"Recently the Messenger icon disappeared from Facebook (on my iPad only, iPhone still has it). I think it happened after the last update. Now I don't know if friends are sending me messages without going out of FB and opening Messenger. Please fix.",bug report,neutral
2503,United States,2,Too much space,Make the app do it doesn't take up an entire gigabyte on my phone. I only have 11 gigabytes on here,requirement,neutral
2504,United States,2,"Worse, hardly ever better","I'm still able to like comments and even select a reaction.  I'm unsure why others say they can't.  However this app is so bloated for one, not to mention the timeline is hosed.  It'll show posts I've seen from three days ago as if they're new.  Really worthless imo.  I'm utterly shocked at how such a large company can't code an app to work better than this and not eat 1/3 of a phones storage. Oh now you put ads in videos? Well won't be watching them anymore. You guys are a joke.",requirement,negative
2505,Canada,2,"Server side update, can't see reacts anymore",A change to the design put the reacts on the side of comments and picture. You can't even see them now.,requirement,neutral
2506,United States,2,Completely Unable to Post Pictures,"Ive deleted the app and re-downloaded it, I've restarted my phone and I've logged out and back into the app yet I still can't post pictures. I'll tap the photo icon, select my pictures then it just freezes there. The only way I can exit out is if I kill the app then open it again. I may still be doing something wrong but I've tried all I can think of.",bug report,neutral
2507,United States,2,started crashing,Facebook just get crashed after using for few minute on my i5,bug report,neutral
2508,United States,2,Too much,This app has too many updates and takes up too much space. The updates aren't even anything helpful. STOP UNLESS REALLY NEEDED!,requirement,neutral
2509,Australia,2,Want it like desktop site!,Want all the features easily accessible like desktop version. Also want member activity log for FB groups.,requirement,neutral
2510,United States,2,Photos aren't working,"Every time I try to add photos to my albums, the app freezes. It says you can up load 40 pics at a time, but even when I only try to upload one at a time, it freezes.",bug report,neutral
2511,United States,2,Lose the left swipe to camera!,The left swipe to camera is annoying! Bring back the right swipe to see who's online and leave the Instagram style to Instagram!,requirement,negative
2512,United States,2,Crashes,Frequently crashes when trying to view profiles or click on links. Has been this way for as long as I've had the app and updates never fix it.,bug report,neutral
2513,United States,2,Update,I have updated so many times..and still the new added colors for stat posting I don't have!,requirement,neutral
2514,United States,2,ï¿½,Bring back the flower & add praying hands!!!!!!!!,requirement,neutral
2515,United Kingdom,2,Needs improving,Since one of the recent updates I miss most of my friends' recent posts because my feed is instead full of posts from 4/5 days ago. This really needs fixing because I now miss a lot of news updates as well as posts from friends. Otherwise the app is fine.,requirement,neutral
2516,Canada,2,Video issue,"Videos don't play on wifi! 
I have great wifi and often use different wifi sources. They all glitch when trying to view a video in the app. 
I can immediately switch to any other app or turn off wifi and watch videos.",bug report,neutral
2517,India,2,This app is eating space,I don't understand why facebook is not working to make this app more light it's eating more than 500 mb space on my iphone and their updates also are 100 mb plus. This app needs a major overhaul. Facebook are you listening.,requirement,negative
2518,United States,2,Bloated App,Not exactly the most efficient piece of software.,requirement,negative
2519,United States,2,Liking comments,Why did the ability to like comments go away??,requirement,neutral
2520,Canada,2,Last update,The last update turned thing app into a major battery issue,requirement,neutral
2521,United States,2,Stop whatever you are trying to do.,"Now you moved the message icon in an odd spot at the top of the screen. Put it back down the bottom.  Quit changing things you think people want and don't. 

Quit making so called improvements. Just leave things alone. Nothing wrong with the way things used to be. Now you took away friend list being alphabetical order.",requirement,negative
2522,United States,2,Getting worse? Idk?,I go to delete a picture and it won't delete? i tried to update my profile picture & it says it can't upload but still uploads and my picture is super freaking blurry!!!?,bug report,negative
2523,United States,2,Ugh,"Why does Facebook hate chronological order so much?  It's bad enough that it won't put my friends' posts in order in my newsfeed.  Now it tells me it's going to list my Notifications by ""most relevant"" to me instead of in time order, too.  Why?  Just why?? Surely writing some complex algorithm to try to guess what I MIGHT think is relevant is far more time consuming and expensive than just letting stories appear in chronological order?!?",requirement,negative
2524,United States,2,Enough is Enough!,"Facebook get back to your purpose and what you have told us in your core values. I love Facebook for many of the same reasons that I hate it. In my opinion Facebook has made using Messenger and Facebook Pages invasive and crippling. Barriers to using these apps for my personal benefit is getting higher and higher. I have had some very positive experiences with these apps but I feel that changes are being made that are not in the Users best interest. Then you started with Instagram. Although I have been a huge supporter in the past, I am losing my patience.",requirement,negative
2525,United States,2,Takes up too much space.,I have to delete it and reinstall periodically because it accumulates data constantly and grows into a huge leach on my phone.,requirement,negative
2526,India,2,Why updating regularly when there is no use,Al tese updates are just waste of use..app is slow and no changes,requirement,neutral
2527,United Kingdom,3,Wellâ€¦,HOW ABOUT SOME ACTUAL GIF SUPPORT LIKE THE TWITTER APP?! (And I mean so that you can just upload a gif straight from your photos into a post!),requirement,neutral
2528,United States,3,.....,MAKE IT SO WE CAN UNSEND MESSAGES LIKE INSTA DOES.,requirement,positive
2529,United Kingdom,3,Good but changes needed,The app does everything i want but I'm unable to see my memories or view on this day which is disappointing,requirement,neutral
2530,India,3,Bug fix,There are notifications of friend requests but after opening them there are none,bug report,positive
2531,United States,3,Meh,iOS does everything better than android so far (I'm a recent convert) except for Facebook. Where's our nifty backgrounds for status updates?,requirement,neutral
2532,United States,3,Thanks,"Thank you for this app
But your weekly updates aren't useful.",other,negative
2533,United States,3,Update,"Right now I can't post videos, it won't allow me to, it just crashes when I try.",bug report,positive
2534,United States,3,Freezes,Lately i have been scrolling through my news feed and it freezes mid screen and i have to back out of the app and restart my phone to restart everything and when i try again it does the same thing,bug report,neutral
2535,India,3,FB App for IPhone,Excellent but too big an app,requirement,neutral
2536,Singapore,3,Why cannot download?,Y suddenly cannot download?,bug report,negative
2537,Canada,3,Colour status not working,I don't know what is wrong but I can't get the colour status to work on my fully updated iPhone 5s,bug report,negative
2538,United States,3,Crashes way too often...,"Great UI improvements, but the app crashes, seemingly randomly, when I'm reading an article.  Very annoying.  This needs to change!  It's making the app, at least for me, almost useless...",bug report,negative
2539,Canada,3,Ads,"You guys need to find a different way for ads in videos. Either before the video starts, or add a skip button you completely ruin the experience of watching a video someone has posted by stopping it a few minutes in for an add. As soon as the ad starts I lose interest in finishing the video.",requirement,neutral
2540,United States,3,I like FB but not it's apps,"With every update, Facebook gets more and more annoying. For me, the most annoying is ""people you may know"" ðŸ˜© idc about ppl i MAY know! Take your dating site elsewhere ðŸ˜’ I still have to figure out how to get that little box off the right side of my screen. I wish there was a button like this for more things on FB. I also don't like the way the video automatically fills your screen after a few seconds. What was wrong with the old way of tapping the video? Simple is grand.",requirement,neutral
2541,United States,3,Notifications are weird.,"I keep getting notification bubbles. It will say 12, I go in and I have 8. It says 9, I go in and have 3. It says 4 and I go in and there's none. I hate having the bubble so I have to keep going into the app to clear it but it pops up less than 5 minutes later.",bug report,neutral
2542,United States,3,Unable to watch videos,"I'm unable to watch Live videos, it keeps freezing. I can exit out the video or restart the phone and it still does it. Same thing with playing a video it says that my connection isn't strong and I could be in wifi or have a really strong connection. Never had this issue before until recently.",bug report,negative
2543,United Kingdom,3,Notifications disappear once I open the app.,"I get a notification on the app icon, but when I open the app it's gone. Bad update?",bug report,neutral
2544,India,3,250 MB/ Its a Lot!,"I Recently uninstall Facebook and messenger both just coz of their size. 250 MB for a single App is lot on 16 GB iphone. 
I will back when space issue Solved..!
Thanks.",requirement,negative
2545,India,3,Complaint regarding updation,I cannot update or reinstall the app on mobile network..it says above 100 mb needs to be updated on wifi only.,requirement,negative
2546,India,3,App size too big,App size is very big. Please try to lessen the size.,requirement,negative
2547,United States,3,Allow download over cellular data!,It's really frustrating that I/we have to connect to WiFi in order update due to the file size. We should have the choice if we want to use our data or WiFi.,requirement,negative
2548,United States,3,When are you going to fix the notifications?,"When you tap on the little globe, some of the notifications can't be viewed unless you close FB and restart it. Very frustrating. It's been like this for years. Same problem on the last two phones I've had.",bug report,negative
2549,United States,3,Can't post,"Every time I try to share some photos from my camera roll, Facebook freezes up and doesn't let me do anything.",bug report,neutral
2550,United States,3,Newest Update chat bubbles,"In this update, conversations appear with chat bubbles instead of simply being posted in a thread the way they have for years. It makes subthreads hard to follow. 

Only text messages should have chat bubbles. Posts do not need this annoying graphic.",requirement,negative
